 ,Players with the Highest 
Combined World Record Scores,,,,Players With the Most Records ,,,,Tanks with the Highest
 Combined Record Scores,,,,Players with the Highest World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on HAS+LAS,,,,Most Common Tanks on the HAS,,,,Players with the Highest 
Combined Event Record Scores,,,,Players With the Most Event Records ,,,,Tanks with the Highest
 Combined Event Record Scores,,,,Players with the Highest Event World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on EAS,,,,Players with the Highest 
Combined Incog Record Scores,,,,Players With the Most Incog Records ,,,,Tanks with the Highest
 Combined Incog Record Scores,,,,Players with the Highest Incog World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on IAS,,,,Players with the most times on Time Trials ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Tank,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,# of times

,44,fortune,25282798,,44,Armin Play YT,7,,44,Sniper,36066384,,44,4m (18 WR),3077994.9444444445,,43,Neptuun,39,,43,Bulwark,39,,44,MrFarmz,3830000,,36,Armin Play YT ,3,,44,Bent Hybrid,7985296,,,,,,31,[MG] Spin2Team,2,,44,incog darky,2034434,,31,jax,1,,44,Field Gun,5291752,,,,,,,,,,,,
,45,Damocles,24976981,,44,Ender,7,,45,Ranger,35854477,,45,WL9 (5 WR),3009008.4,,43,[MG] Spin2Team,39,,43,Sprayer,39,,45,𝕊ØυĻ,3807580,,45,potatoes,2,,45,Constructor,7948723,,,,,,31,ay96,2,,45,🥕Crazy Carrot🥕,2023905,,31,cute sus,1,,45,Crop Duster,5186969,,,,,,,,,,,,
,46,Neptuun,23123922,,44,Denied,7,,46,Banshee,35588509,,46,YT=GLITCHER TM (5 WR),2983343,,46,Chaos,37,,46,Mortar,38,,46,uhhh ._.,3721888,,45,lTorenn,2,,46,Ordnance,7874008,,,,,,31,baking soda,2,,46,StormX,1913889,,31,[🩸] Gєтzια,1,,46,Auto Smasher,5172939,,,,,,,,,,,,
,47,zo,22777065,,44,🥕Crazy Carrot🥕,7,,47,Auto Spawner,35137292,,47,duc (6 WR),2922140.5,,47,Ender,36,,47,Auto Spawner,37,,47,Phoenix,3447866,,45,me(duh),2,,47,Bent Double,7824804,,,,,,31,duc,2,,47,AstRatJP,1902063,,31,ah~,1,,47,Ordnance,4758820,,,,,,,,,,,,
,48,ascending,22348422,,44,☠ʟᴀɢ мᴀsтᴇʀ☠,7,,48,Fighter,35116073,,48,Stradpult (6 WR),2916422.5,,47,ThunderFlame,36,,48,Factory,36,,48,eel,3347762,,45,Awootube,2,,48,Auto-4,7499891,,,,,,31,evil isopod,2,,48,[🩸] Gєтzια,1439767,,31,Askatasuna,1,,48,Nailgun,4750055,,,,,,,,,,,,
,49,bean,22221042,,44,ascending,7,,49,Barricade,34943925,,49,[LK] (13 WR),2834461.846153846,,47,[LK],36,,49,Carrier,35,,49,Askatasuna,3300072,,45,Ender,2,,49,Bushwhacker,7341407,,,,,,31,jugg,2,,49,Alif (ألف)🌷,1282894,,31,Rapist!,1,,49,Sprayer,4677660,,,,,,,,,,,,
,50,Jackson,21716783,,50,Mr.Chemistry,6,,50,Crop Duster,34471087,,50,YT-TY (5 WR),2800375.6,,47,asd,36,,50,Surfer,34,,50,OnyxD,3299522,,45,uhhh ._.,2,,50,Redistributor,7249606,,,,,,31,pancake,2,,50,squid lotion,1066175,,31,lifey,1,,50,Auto-5,4553471,,,,,,,,,,,,
,51,[MG] Spin2Team,21593072,,50,bean,6,,51,Octo Tank,34441880,,51,pool noodle (5 WR),2735990.8,,51,YT=GLITCHER TM,35,,51,Director,33,,51,jsohi,3262390,,45,Micckey 😎,2,,51,Dual,7091420,,,,,,31,☠ʟᴀɢ мᴀsтᴇʀ☠,2,,51,Hahaha4315,1020755,,31,Hahaha4315,1,,51,Overgunner,4311461,,,,,,,,,,,,
,52,CX has cute feet,19993096,,50,ASkib,6,,52,Sprayer,34436268,,52,Darky (6 WR),2727878.8333333335,,52,Jackson,34,,51,Dual,33,,52,a letter a,3166997,,45,breaking good,2,,52,Mega-3,7077751,,,,,,31,☯Dark Karmaツ,2,,52,ah~,1006082,,31,Marcus,1,,52,Commander,4234619,,,,,,,,,,,,
,53,Anak,19441623,,50,Para,6,,53,Builder,34333668,,53,[MG] Spin2Team (8 WR),2699134,,53,fortune,33,,51,Flank Guard,33,,53,Ƨchrodιηgεr,3156649,,45,eel,2,,53,Artillery,7040915,,,,,,31,🌨️ DeepFreeze ❄️,2,,53,Rapist!,916657,,31,HiYouHavePolio,1,,53,Overdrive,4057717,,,,,,,,,,,,
,54,noscore,19047982,,50,duc,6,,54,Twin,34302830,,54,☠ʟᴀɢ мᴀsтᴇʀ☠ (7 WR),2528877.4285714286,,54,Para,32,,51,Trap Guard,33,,54,Marcus,2934044,,45,Corrupt Y,2,,54,Hewn Double,7004419,,,,,,54,@_@,1,,54,Clare,681572,,31,Nyrox,1,,54,Underseer,4011345,,,,,,,,,,,,
,55,Tommy,18988037,,50,Stradpult,6,,55,(Basic) Tank,34180256,,55,🌷|retnuH (11 WR),2378829.272727273,,55,Jake,31,,55,Nailgun,32,,55,Ender,2924470,,45,MrFarmz,2,,55,Spreadshot,6980004,,,,,,54,Arctic,1,,55,xeno,578098,,31,Awootube,1,,55,Beekeeper,3907735,,,,,,,,,,,,
,56,☠ʟᴀɢ мᴀsтᴇʀ☠,17702142,,50,Darky,6,,56,Triple Twin,34148813,,56,jax (11 WR),2347896.3636363638,,55,Nya~,31,,55,Overgunner,32,,56,evil isopod,2903517,,45,jsohi,2,,56,Falcon,6916774,,,,,,54,Armin Play YT ,1,,,,,,,,,,56,Director,3876485,,,,,,,,,,,,
,57,duc,17532843,,50,Giggity,6,,57,Dual,33960635,,57,Giggity (6 WR),2345077.8333333335,,55,bean,31,,55,Overtrapper,32,,57,Awootube,2664772,,45,Silk,2,,57,Minigun,6882251,,,,,,54,Asriel,1,,,,,,,,,,57,Eagle,3811104,,,,,,,,,,,,
,58,Stradpult,17498535,,58,8,5,,58,Hewn Double,33836196,,58,Ray (5 WR),2328922.4,,58,Roman,30,,58,Builder,31,,58,ThunderFlame,2603751,,58,10,1,,58,Assassin,6870245,,,,,,54,Broskiwastaken/Salute,1,,,,,,,,,,58,Hexa Tank,3811003,,,,,,,,,,,,
,59,132,17066738,,58,132,5,,59,Fortress,33729323,,59,Neptuun (10 WR),2312392.2,,58,S3CR3T,30,,58,Constructor,31,,59,pool noodle,2468493,,58,Summersong,1,,59,Barricade,6773549,,,,,,54,CX has cute feet,1,,,,,,,,,,59,Fortress,3794502,,,,,,,,,,,,
,60,8,16464544,,58,WL9,5,,60,Shotgun,33579267,,60,Damocles (11 WR),2270634.6363636362,,60,Eternity,28,,60,Beekeeper,30,,60,breaking good,2419519,,58,Thx m8,1,,60,Rifle,6585405,,,,,,54,Candy,1,,,,,,,,,,60,Architect,3770732,,,,,,,,,,,,
,61,Darky,16367273,,58,YT-TY,5,,61,Assassin,33140610,,61,ASkib (6 WR),2228575.5,,60,O'Chunks,28,,60,Engineer,30,,61,Roman,2397105,,58,pool noodle,1,,61,Overgunner,6557476,,,,,,54,Chaos,1,,,,,,,,,,61,Redistributor,3704178,,,,,,,,,,,,
,62,cute sus,16364769,,58,Ray,5,,62,Machine Gunner,33068676,,62,CX has cute feet (9 WR),2221455.111111111,,60,🎋,28,,60,Triple Twin,30,,62,ExC,2328251,,58,Records,1,,62,Auto 3,6551085,,,,,,54,DBM,1,,,,,,,,,,62,Carrier,3126915,,,,,,,,,,,,
,63,Athu,15851547,,58,pool noodle,5,,63,Necromancer,32721460,,63,🎋 (12 WR),2205823.75,,63,Darky,27,,63,Hewn Double,29,,63,Necropio,2323065,,58,Vinh HD,1,,63,Director,6326544,,,,,,54,Dev_Bs,1,,,,,,,,,,63,Destroyer,3084868,,,,,,,,,,,,
,64,WL9,15045042,,58,YT=GLITCHER TM,5,,64,Auto Tri-Angle,32474027,,64,Jackson (10 WR),2171678.3,,64,Hertz,26,,64,Boomer,28,,64,Obsession,2235634,,58,HiYouHavePolio,1,,64,Bulwark,6283174,,,,,,54,Die?,1,,,,,,,,,,64,Atomizer,3083099,,,,,,,,,,,,
,65,YT=GLITCHER TM,14916715,,58,cute sus,5,,65,Auto-5,32085282,,65,ThunderFlame (14 WR),2066614.9285714286,,64,our kill,26,,64,Double Twin,28,,65,CrimsonAsItIs,2043254,,58,<❂> ₭ǿrɇa,1,,65,Cruiser,6272358,,,,,,54,Dog Of Wisdom,1,,,,,,,,,,65,Tri-Trapper,2858377,,,,,,,,,,,,
,66,Giggity,14070467,,58,pedal,5,,66,Bomber,32059207,,66,2not1🌹 (18 WR),2016208,,66,Buddy_Dog,25,,66,Minigun,27,,66,NadeWhyTea,2016524,,58,Chat Noir,1,,66,Landmine,6186022,,,,,,54,Eternity,1,,,,,,,,,,66,Overseer,2818051,,,,,,,,,,,,
,67,YT-TY,14001878,,58,Athu,5,,67,Musket,31996296,,67,Armin Play YT (7 WR),1973109.5714285714,,66,Crown the Ö.,25,,66,Rifle,27,,67,Asriel,2003659,,58,Karmanor,1,,67,Triple Twin,6134460,,,,,,54,Jbad15,1,,,,,,,,,,67,Twin,2783423,,,,,,,,,,,,
,68,Armin Play YT,13811767,,58,Anak,5,,68,Factory,31949661,,68,Silk (15 WR),1943796.8,,66,Mr.Hacker YT,25,,68,Artillery,26,,68,Thx m8,1976304,,58,Phoenix,1,,68,Hexa Tank,6095843,,,,,,54,KSK,1,,,,,,,,,,68,Auto 3,2765788,,,,,,,,,,,,
,69,pool noodle,13679954,,69,Ice Cream Samich,4,,69,Spreadshot,31754630,,,,,,69,Oganesson 118,24,,68,Cyclone,26,,69,lTorenn,1970220,,58,KILL TM#3632,1,,69,Hunter,5984867,,,,,,54,Legenda,1,,,,,,,,,,69,Sidewinder,2696642,,,,,,,,,,,,
,70,Absol,13396440,,69,jah,4,,70,Minigun,31708969,,,,,,70,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,23,,68,Ranger,26,,70,zo,1931008,,58,evil isopod,1,,70,Fighter,5962167,,,,,,54,Levitate,1,,,,,,,,,,70,Hewn Double,2513584,,,,,,,,,,,,
,71,ASkib,13371453,,69,a letter a,4,,71,Engineer,31704897,,,,,,71,Otobus,22,,71,Armsman,25,,71,10,1875830,,58,無い焼き,1,,71,Septa Trapper,5871470,,,,,,54,Marcus,1,,,,,,,,,,71,Booster,2473157,,,,,,,,,,,,
,72,Ice Cream Samich,13143427,,69,CrimsonAsItIs,4,,72,Constructor,31520962,,,,,,71,Sonic -_-,22,,71,Auto-5,25,,72,✠ Purifier!,1767057,,58,Askatasuna,1,,72,Beekeeper,5765318,,,,,,54,Marcusicoi,1,,,,,,,,,,72,Bent Hybrid,2390484,,,,,,,,,,,,
,73,safuez,13122012,,69,pancake,4,,73,Swarmer,30961368,,,,,,71,jugg,22,,71,Machine Gunner,25,,73,Jimmy,1700000,,58,KevinGHB,1,,73,Surfer,5648836,,,,,,54,Medical Surgeon Unit,1,,,,,,,,,,73,Boomer,2325638,,,,,,,,,,,,
,74,crong,12253133,,69,Septerion,4,,74,Nailgun,30937930,,,,,,74,Corrupt X,21,,74,Fortress,24,,74,potatoes,1699479,,58,CWWW,1,,74,Architect,5638310,,,,,,54,Mr. Farmz,1,,,,,,,,,,74,Bushwhacker,2283422,,,,,,,,,,,,
,75,BaLu,12243774,,69,Absol,4,,75,Ordnance,30704448,,,,,,75,AstRatJP,20,,74,Musket,24,,75,minidev,1606343,,58,PokeSvorlds,1,,75,Swarmer,5626293,,,,,,54,Necropio,1,,,,,,,,,,75,Trap Guard,2262104,,,,,,,,,,,,
,76,Otobus,11799090,,69,Toy Maker,4,,76,Double Twin,30573254,,,,,,75,Heatherly,20,,76,Triple Shot,23,,76,4m,1457052,,58,Roman,1,,76,Smasher,5622931,,,,,,54,Nothingness,1,,,,,,,,,,76,Ranger,2204115,,,,,,,,,,,,
,77,Ray,11644612,,69,BaLu,4,,77,Crossbow,30381204,,,,,,77,Absol,19,,77,Swarmer,22,,77,PokeSvorlds,1365098,,58,[LM] KAlu,1,,77,Trapper,5604035,,,,,,54,Obssesion,1,,,,,,,,,,77,Double Twin,2191161,,,,,,,,,,,,
,78,ejv,11466981,,69,From Asia,4,,78,Stalker,30261151,,,,,,77,DragonFiire,19,,78,Assassin,20,,78,<❂> ₭ǿrɇa,1334350,,58,Asriel,1,,78,Twin,5552313,,,,,,54,PaNcAkE🥞,1,,,,,,,,,,78,Armsman,2135529,,,,,,,,,,,,
,79,Sprunk,11409717,,69,bruhski,4,,79,Triple Shot,30110303,,,,,,77,Silk,19,,78,Crossbow,20,,79,me(duh),1314389,,58,Marcus,1,,79,Skimmer,5405710,,,,,,54,Roman,1,,,,,,,,,,79,X-Hunter,2079073,,,,,,,,,,,,
,80,CrimsonAsItIs,10534251,,69,Tommy,4,,80,Machine Gun,30035488,,,,,,77,cute sus,19,,78,Eagle,20,,80,TheMadLad,1273825,,58,exycus,1,,80,Penta Shot,5151983,,,,,,54,Solarized (mobile),1,,,,,,,,,,80,Builder,2006383,,,,,,,,,,,,
,81,Toy Maker,10476519,,81,Otobus,3,,81,Architect,29955657,,,,,,77,jah,19,,78,Hexa Trapper,20,,81,mq,1241611,,58,someone :),1,,81,Sidewinder,5064773,,,,,,54,Unknown Overlord,1,,,,,,,,,,81,Twister,1972609,,,,,,,,,,,,
,82,pancake,10312171,,81,zoom!🥀,3,,82,Surfer,29689381,,,,,,77,jsohi,19,,78,Mega-3,20,,82,itzooferz yt,1236660,,58,Myst,1,,82,Bomber,5024892,,,,,,54,Varun,1,,,,,,,,,,82,Gunner Trapper,1940911,,,,,,,,,,,,
,83,Legenda,10125296,,81,Pain痛み,3,,83,Cyclone,29624842,,,,,,83,ascending,18,,78,Shotgun,20,,83,HiYouHavePolio,1206303,,58,4m,1,,83,Necromancer,5009170,,,,,,54,Vinh HD,1,,,,,,,,,,83,Triple Twin,1930566,,,,,,,,,,,,
,84,a letter a,10005881,,81,Kris,3,,84,Mega-3,29623568,,,,,,83,noscore,18,,78,Skimmer,20,,84,! Choke !™,1170175,,58,✠ Purifier!,1,,84,Flank Guard,4923564,,,,,,54,Xenom,1,,,,,,,,,,84,Hexa Trapper,1784569,,,,,,,,,,,,
,85,Septerion,9862548,,81,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,3,,85,Skimmer,28225460,,,,,,83,uhhh ._.,18,,85,Architect,19,,85,⚡𝕯𝖗𝖆𝖌𝖔𝖓⚡INDONESIA,1158965,,58,Gizmic,1,,85,Banshee,4887700,,,,,,54,Yusuf 100,1,,,,,,,,,,85,Infestor,1769988,,,,,,,,,,,,
,86,jah,9735579,,81,Icewalk,3,,86,Director,27214447,,,,,,86,pancake,17,,85,Machine Gun,19,,86,KevinGHB,1130940,,58,nata,1,,86,Auto Smasher,4855224,,,,,,54,a letter a,1,,,,,,,,,,86,Rifle,1660515,,,,,,,,,,,,
,87,Jake,9132877,,81,safuez,3,,87,Conqueror,27197412,,,,,,87,132,16,,85,Maleficitor,19,,87,nata,1118897,,58,iJP TM,1,,87,Mortar,4831295,,,,,,54,crong,1,,,,,,,,,,87,Machine Gun,1494596,,,,,,,,,,,,
,88,OnyxD,8730782,,81,eel,3,,88,Eagle,27110845,,,,,,87,Kris,16,,88,Ordnance,18,,88,Chat Noir,1095674,,58,4 inch wide mega dildo,1,,88,Tri-Angle,4815245,,,,,,54,deepfreeze,1,,,,,,,,,,88,Conqueror,1402928,,,,,,,,,,,,
,89,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,8674176,,81,Legenda,3,,89,Maleficitor,26843534,,,,,,87,Septerion,16,,88,Stalker,18,,89,CWWW,1080000,,58,mq,1,,89,Poacher,4760801,,,,,,54,heisen,1,,,,,,,,,,89,Bulwark,1401905,,,,,,,,,,,,
,90,Crazoodles,8644295,,81,zo,3,,90,Tri-Angle,25918800,,,,,,87,lotion,16,,88,Tri-Angle,18,,90,Hurricane,1070000,,58,Oa,1,,90,Underseer,4757845,,,,,,54,hexagone,1,,,,,,,,,,90,Mega Smasher,1349732,,,,,,,,,,,,
,91,Icewalk,8639129,,81,Trastectic,3,,91,Sidewinder,25918274,,,,,,91,Ditine,15,,91,Bomber,17,,91,HenWire,1049872,,58,Jimmy,1,,91,Pounder,4626513,,,,,,54,iiceheart,1,,,,,,,,,,91,Single,1325108,,,,,,,,,,,,
,92,Kris,8530259,,81,Nya~,3,,92,Gunner,25782579,,,,,,91,OnyxD,15,,92,Conqueror,15,,92,Vinh HD,1048516,,58,Necropio,1,,92,Crop Duster,4623087,,,,,,54,jah,1,,,,,,,,,,92,Septa Trapper,1292181,,,,,,,,,,,,
,93,Heatherly,8217163,,81,ejv,3,,93,Hexa Trapper,25687832,,,,,,91,ay96,15,,92,Spawner,15,,93,？？？,1039776,,58,CrimsonAsItIs,1,,93,Musket,4605890,,,,,,54,jsohi,1,,,,,,,,,,93,Constructor,1215774,,,,,,,,,,,,
,94,Nya~,7475599,,94,69,2,,94,Underseer,24856108,,,,,,94,Abience,14,,92,Underseer,15,,94,無い焼き,1012172,,58,itzooferz yt,1,,94,Ranger,4494171,,,,,,54,loaf,1,,,,,,,,,,94,Predator,1130388,,,,,,,,,,,,
,95,asd,7447385,,94,Catto,2,,95,Poacher,24686702,,,,,,94,Allan,14,,95,Sidewinder,13,,95,literal cancer,938895,,58,HenWire,1,,95,Booster,4453690,,,,,,54,o_o,1,,,,,,,,,,95,Spike,1020755,,,,,,,,,,,,
,96,eel,7418033,,94,our kill,2,,96,Carrier,24671812,,,,,,94,Hestefisk,14,,96,Cruiser,12,,96,MoonMan,934713,,58,S3CR3T,1,,96,Atomizer,4427812,,,,,,54,pool noodle,1,,,,,,,,,,96,Focal,1016145,,,,,,,,,,,,
,97,Ditine,7400573,,94,TheMadLad,2,,97,Spawner,24559564,,,,,,94,duc,14,,96,Poacher,12,,97,S3CR3T,907750,,58,Ƨchrodιηgεr,1,,97,Focal,4419610,,,,,,54,rela 🐣,1,,,,,,,,,,97,Flank Guard,952173,,,,,,,,,,,,
,98,Pain痛み,7356067,,94,xeno,2,,98,Pounder,24274335,,,,,,98,8,13,,98,Auto-4,11,,98,Myst,833088,,58,zo,1,,98,Eagle,4358568,,,,,,54,solarized (mobile),1,,,,,,,,,,98,Triple Shot,900733,,,,,,,,,,,,
,99,Trastectic,7270764,,94,greg.,2,,99,Auto-4,23254178,,,,,,98,Broken,13,,99,Big Cheese,9,,99,Karmanor,814663,,58,TheMadLad,1,,99,Twister,4342835,,,,,,54,truper,1,,,,,,,,,,99,Stalker,811390,,,,,,,,,,,,
,100,From Asia,7173603,,94,⚔ Existence🌙,2,,100,Cruiser,22127356,,,,,,98,Ray,13,,99,Pounder,9,,100,iJP TM,792056,,58,xeno,1,,100,Hexa Trapper,4332421,,,,,,54,you tried ☆,1,,,,,,,,,,100,Trapper,738506,,,,,,,,,,,,
,101,O'Chunks,7104612,,94,noscore,2,,101,Big Cheese,21372492,,,,,,98,istiR,13,,101,Gunner,8,,101,Gizmic,776091,,58,alt,1,,101,Stalker,4224420,,,,,,54,Ƨchrodιηgεr,1,,,,,,,,,,101,Hunter,681572,,,,,,,,,,,,
,102,Oganesson 118,7021334,,94,eneri,2,,102,Twister,21151555,,,,,,98,x,13,,101,Launcher,8,,102,@_@,725577,,58,literal cancer,1,,102,Spike,4126762,,,,,,54,☆,1,,,,,,,,,,102,Barricade,618788,,,,,,,,,,,,
,103,Sashazzz,6926625,,94,SunIdea,2,,103,Launcher,19730075,,,,,,103,EB,12,,101,Twister,8,,103,alt,718700,,58,Obsession,1,,103,Boomer,4094979,,,,,,54,✠ Purifier!,1,,,,,,,,,,103,Cyclone,548126,,,,,,,,,,,,
,104,TheMadLad,6893474,,94,Broken,2,,104,Septa Trapper,19303276,,,,,,103,Micckey 😎,12,,104,Hunter,7,,104,Records,701630,,58,Slen,1,,104,Commander,4089841,,,,,,54,Ⱡ₳₣➛SKULLRACER,1,,,,,,,,,,104,Launcher,545450,,,,,,,,,,,,
,105,S3CR3T,6562336,,94,$hortstop,2,,105,Tri-Trapper,19132792,,,,,,103,PQD[VN](DVN),12,,105,(Basic) Tank,6,,105,StormX,677466,,58,⚡𝕯𝖗𝖆𝖌𝖔𝖓⚡INDONESIA,1,,105,Fortress,4042630,,,,,,54,🎋,1,,,,,,,,,,105,Pounder,0,,,,,,,,,,,,
,106,PQD[VN](DVN),6540044,,94,NOT|megaball[VN,2,,106,Hunter,18226168,,,,,,103,pool noodle,12,,105,Auto 3,6,,106,xeno,664982,,58,MoonMan,1,,106,Builder,3862365,,,,,,,,,,,,,,,,,,105,Cruiser,0,,,,,,,,,,,,
,107,Broken,6510904,,94,you tried ☆,2,,107,Auto 3,17948741,,,,,,107,1,11,,107,Redistributor,5,,107,Summersong,645020,,58,ExC,1,,107,Launcher,3688409,,,,,,,,,,,,,,,,,,105,Gunner,0,,,,,,,,,,,,
,108,Die?,6442118,,94,jsohi,2,,108,Redistributor,17902579,,,,,,107,CX has cute feet,11,,107,Septa Trapper,5,,108,Slen,643745,,58,ThunderFlame,1,,108,Armsman,3403675,,,,,,,,,,,,,,,,,,105,Minigun,0,,,,,,,,,,,,
,109,ねこきん,6349079,,94,Devα,2,,109,Trapper,17588527,,,,,,107,Catto,11,,107,Trapper,5,,109,Oa,613325,,58,minidev,1,,109,Field Gun,3273117,,,,,,,,,,,,,,,,,,105,Bomber,0,,,,,,,,,,,,
,110,Sonic -_-,6247972,,94,Thunder,2,,110,Field Gun,16776338,,,,,,107,Giggity,11,,107,Tri-Trapper,5,,110,[LM] KAlu,603116,,58,？？？,1,,110,Tri-Trapper,2906676,,,,,,,,,,,,,,,,,,105,Dual,0,,,,,,,,,,,,
,111,Hydra,6193777,,94,OnyxD,2,,111,Atomizer,12793507,,,,,,107,YT-TY,11,,111,Atomizer,2,,111,someone :),590065,,58,@_@,1,,111,Phoenix,2807596,,,,,,,,,,,,,,,,,,105,Musket,0,,,,,,,,,,,,
,112,lamita,5983746,,94,loaf,2,,112,Focal,12199131,,,,,,107,eel,11,,111,Field Gun,2,,112,4 inch wide mega dildo,549689,,58,Hurricane,1,,112,Maleficitor,2191210,,,,,,,,,,,,,,,,,,105,Necromancer,0,,,,,,,,,,,,
,113,SunIdea,5964907,,94,long vn :D,2,,113,Phoenix,11153721,,,,,,113,2not1🌹,10,,111,Infestor,2,,113,exycus,537760,,58,StormX,1,,113,Mega Smasher,1062099,,,,,,,,,,,,,,,,,,105,Phoenix,0,,,,,,,,,,,,
,114,Legit Developer,5948273,,94,lotion,2,,114,X-Hunter,10371326,,,,,,113,ByEkc,10,,111,X-Hunter,2,,114,KILL TM#3632,532487,,58,! Choke !™,1,,114,Infestor,0,,,,,,,,,,,,,,,,,,105,Poacher,0,,,,,,,,,,,,
,115,Nguyen,5857484,,94,SKyTarii,2,,115,Infestor,9931918,,,,,,113,Cambam826YT,10,,115,Auto Assassin,1,,,,,,,,,,114,X-Hunter,0,,,,,,,,,,,,,,,,,,105,Skimmer,0,,,,,,,,,,,,
,116,Hellitica,5802534,,94,Sonic -_-,2,,,,,,,,,,113,Die?,10,,115,Focal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,117,Silvius,5792024,,94,𝓒𝓮𝓵𝓮𝓼𝓽𝓲𝓪𝓵🌙,2,,,,,,,,,,113,Ice Cream Samich,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,bruhski,5649012,,94,UwU,2,,,,,,,,,,113,Rosencrantz and Guildenstern,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,JellySnk,5539118,,94,NIGHTGER,2,,,,,,,,,,113,Thunder,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,mq,5518921,,94,Sashazzz,2,,,,,,,,,,113,bob,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,NIGHTGER,5492376,,94,Jake,2,,,,,,,,,,113,kris,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,UwU,5420931,,94,dnb,2,,,,,,,,,,122,Dardø 寝る,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,dnb,5326583,,94,Ditine,2,,,,,,,,,,122,DevinSucksAtLife,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,Catto,5274547,,94,Die?,2,,,,,,,,,,122,ErrorAce.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,EB,5247509,,94,crong,2,,,,,,,,,,122,HZ6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,x,5160051,,94,17th,2,,,,,,,,,,122,IXIII,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,shuna,5001105,,94,⚡𝕯𝖗𝖆𝖌𝖔𝖓⚡INDONESIA,2,,,,,,,,,,122,New Plan,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,zoom!🥀,4969260,,94,PQD[VN](DVN),2,,,,,,,,,,122,Someone,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,Devα,4952502,,94,Sprunk,2,,,,,,,,,,122,X...,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,hewo,4936258,,94,Server Dominated,2,,,,,,,,,,122,loaf,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,SKyTarii,4842462,,94,Crazoodles,2,,,,,,,,,,131,$hortstop,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,$hortstop,4783571,,94,S3CR3T,2,,,,,,,,,,131,Chat Noir,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,Mr. Cheese,4746854,,94,Hertz,2,,,,,,,,,,131,E,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,jsohi,4746119,,94,Maku,2,,,,,,,,,,131,Icewalk,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,Jimmy,4700319,,94,AstRatJP,2,,,,,,,,,,131,Myst,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,xahh,4603093,,94,BH🥕Bunny Hop!,2,,,,,,,,,,131,Nguyen,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
