 ,Players with the Highest 
Combined World Record Scores,,,,Players With the Most Records ,,,,Tanks with the Highest
 Combined Record Scores,,,,Players with the Highest World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on HAS+LAS,,,,Most Common Tanks on the HAS,,,,Players with the Highest 
Combined Event Record Scores,,,,Players With the Most Event Records ,,,,Tanks with the Highest
 Combined Event Record Scores,,,,Players with the Highest Event World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on EAS,,,,Players with the Highest 
Combined Incog Record Scores,,,,Players With the Most Incog Records ,,,,Tanks with the Highest
 Combined Incog Record Scores,,,,Players with the Highest Incog World Record 
Ratios (Must have 5 or more Records),,,,Players with the Most Scores on IAS,,,,Players with the most times on Time Trials ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Tank,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,Combined Score,,Rank,Player,# of records,,Rank,Tank,Combined
Score,,Rank,Player,Ratio,,Rank,Player,# of Scores,,Rank,Player,# of times

,11,Thing,76642966,,10,2not1🌹,18,,11,Auto Assassin,51766422,,11,ια (19 WR),4713611.105263158,,11,Thx m8,109,,11,Overdrive,96,,11,🥕Crazy Carrot🥕,16768731,,9,[LK],12,,11,Annihilator,12961362,,11,69 (11 WR),1755563.7272727273,,10,Mine,9,,11,Maku,12877904,,11,baking soda,5,,11,Penta Shot,12466090,,11,geometrically dominated (18 WR),1145619.888888889,,11,Awootube,3,,10,Nyrox,1
,12,Corrupt Y,69998754,,12,Thing,16,,12,Overdrive,50342716,,12,Mr.Chemistry (6 WR),4614423.333333333,,12,🥕Crazy Carrot🥕,103,,12,Triplet,85,,12,buff barricade,13920370,,12,69,11,,12,Overseer,12234296,,12,Anto (5 WR),1645550.8,,10,ThunderFlame,9,,12,Quad,11340508,,12,RAJA,4,,12,Falcon,10892613,,,,,,11,Corrupt Y,3,,10,Askatasuna,1
,13,rela 🐣,69212487,,13,Crown the Ö.,15,,13,Bent Double,49509945,,13,rela 🐣 (15 WR),4614165.8,,13,rela 🐣,101,,13,Auto-Assassin,83,,13,[MG] Spin2Team,13578091,,12,Cipher,11,,13,Predator,12230754,,13,jah (5 WR),1613817.4,,13,ια,6,,13,Oue,10128395,,12,Yusuf 100,4,,13,Auto Builder,10592264,,,,,,11,Nothingness,3,,10,From Asia,1
,14,Roman,67755068,,13,rela 🐣,15,,14,Smasher,49133099,,14,ExC (19 WR),4612868.52631579,,14,Smiley,88,,14,Destroyer,82,,14,you tried ☆,13308924,,12,🥕Crazy Carrot🥕,11,,14,Triplet,11877586,,14,Cipher (11 WR),1601655.5454545454,,14,Askatasuna,5,,14,Thx m8,9806132,,12,lTorenn,4,,14,Streamliner,10574232,,,,,,11,Peach Lover,3,,10,Cannonman,1
,15,Nyrox,58154577,,13,<❂> ₭ǿrɇa,15,,15,Destroyer,48019143,,15,Marcus (9 WR),4566480.222222222,,15,pedal,87,,15,Landmine,79,,15,poui,11867441,,15,Nothingness,8,,15,Auto Assassin,11435794,,15,🥕Crazy Carrot🥕 (11 WR),1524430.0909090908,,14,From Asia,5,,15,Zeo'Xe,9487972,,12,Nguyen,4,,15,Auto Spawner,10533836,,,,,,11,golden,3,,10,Thx m8,1
,16,Rog456,57413621,,13,Silk,15,,16,Triplet,46339862,,16,Smiley (25 WR),4545544.52,,16,Askatasuna,83,,15,Octo Tank,79,,16,Typexleta,11751648,,15,crong,8,,16,Engineer,11399109,,16,CX has cute feet (5 WR),1518926.8,,14,[LK],5,,16,Yusuf 100,9052840,,16,Reckless,3,,16,Manager,10519005,,,,,,16,Hertz,2,,10,🎋,1
,17,4m,55403909,,13,Rog456,15,,17,Overgunner,45833394,,17,Ender (7 WR),4509206.285714285,,17,hi,82,,17,Booster,76,,17,Nothingness,11047465,,17,Armin Play YT,7,,17,Auto Double,11293447,,17,[LK] (12 WR),1481856.5833333333,,14,geometrically dominated,5,,17,Nguyen,8647909,,16,Thx m8,3,,17,Landmine,10501308,,,,,,16,Maku,2,,10,DinhTung,1
,18,bum,53680476,,13,Corrupt X,15,,18,Flank Guard,45745051,,18,bum (12 WR),4473373,,18,ια,77,,18,Bent Double,68,,18,WL9,10713756,,17,Zeo'Xe,7,,18,Carrier,10655701,,18,Nothingness (8 WR),1380933.125,,18,Anto,4,,18,Para,6247002,,16,Gizmic,3,,18,Auto Gunner,10401837,,,,,,16,Nguyen,2,,10,ExC,1
,19,Mr.Hacker YT,51623569,,19,Chaos,14,,19,Auto Double,44400445,,19,Zeo'Xe (25 WR),4346567.04,,19,Awootube,75,,19,Auto Gunner,63,,19,crong,9727572,,19,Typexleta,6,,19,Streamliner,10558102,,19,Candy! (5 WR),1218478,,18,Devα,4,,19,Hertz,5903504,,16,Quad,3,,19,Fighter,10348432,,,,,,16,ThunderFlame,2,,10,nata,1
,20,<❂> ₭ǿrɇa,49008458,,19,Askatasuna,14,,20,Spike,43927882,,20,Quad (34 WR),4100080.588235294,,20,Corrupt Y,72,,20,Auto Smasher,62,,20,Mine,9479818,,19,poui,6,,20,Hybrid,10486287,,20,crong (8 WR),1215946.5,,18,Nguyen,4,,20,Corrupt Y,5698915,,20,fe,2,,20,Artillery,9588428,,,,,,16,Yusuf 100,2,,10,🌷|retnuH,1
,21,Corrupt X,48074867,,19,ThunderFlame,14,,21,Landmine,43890387,,21,Allan (9 WR),4089536.6666666665,,21,WL9,71,,20,Sniper,62,,21,geometrically dominated,9412244,,21,Candy!,5,,21,Battleship,10414975,,21,lotion (5 WR),1004626.2,,18,edamameといふ人,4,,21,lTorenn,5686530,,20,Corrupt Y,2,,21,Triplet,9489630,,,,,,21,2not1🌹,1,,10,[MG] Spin2Team,1
,22,Chaos,45104094,,22,[LK],13,,22,Mega Smasher,42549290,,22,🥕Crazy Carrot🥕 (7 WR),4013865.714285714,,22,<❂> ₭ǿrɇa,70,,22,Necromancer,60,,22,Crown the Ö.,9110388,,21,lotion,5,,22,Auto-5,10384409,,22,[MG] Spin2Team (14 WR),969863.6428571428,,18,poui,4,,22,evil isopod,5584575,,20,🥕Crazy Carrot🥕,2,,22,Overtrapper,9035575,,,,,,21,Andycito123,1,,10,Awootube,1
,23,Askatasuna,44770769,,22,Awootube,13,,23,Auto Smasher,42217607,,23,Anto (8 WR),3923844.375,,23,jax,68,,23,Fighter,57,,23,Sei,8465948,,21,Anto,5,,23,Auto Cruiser,9984613,,23,you tried ☆ (14 WR),950637.4285714285,,23,10,3,,23,Silvius,5510788,,20,StormX,2,,23,Crossbow,8958380,,,,,,21,Askatasuna,1,,10,Sashazzz,1
